Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
DMA,Trade in services (% of GDP),65.9397690550797,65.4948247423159,66.3294899952523,50.5479523780402,54.7789792536647,39.224114313203,37.3761209358163,43.7546213499172,47.4807995013401
DMA,"Communications, computer, etc. (% of service imports, BoP)",44.4802937977961,51.6592331571203,52.0896600373228,38.5539982075308,39.4725153419503,58.6936870325013,52.5190907094729,40.7851501566947,44.2981750783411
DMA,"Primary income payments (BoP, current US$)",32075182.743779,33166629.6563463,11724107.7328293,10346800.4343251,25643629.2756375,3702193.34213536,8198520.95123307,5710152.38733867,6444715.98437759
DMA,"Imports of goods and services (BoP, current US$)",326494116.659552,329423042.735008,324129401.546259,428667286.298444,434447917.099307,302284914.773307,313728895.959017,350982479.557698,414129929.994244
DMA,"Insurance and financial services (% of service imports, BoP)",12.6121197901863,9.54030470602526,12.9462547876953,14.1676093983347,14.0311102531985,14.710834090612,17.4638741933323,18.9858401245811,16.5250319418515
DMA,"Goods imports (BoP, current US$)",195356740.740741,187986335.614815,174260764.414815,284518171.2,280941636.115556,187645120.229926,202557878.065481,234220888.651852,265488183.97037
DMA,"Service imports (BoP, current US$)",131137375.918811,141436707.120193,149868637.131444,144149115.098445,153506280.983751,114639794.543381,111171017.893535,116761590.905846,148641746.023873
DMA,"Charges for the use of intellectual property, payments (BoP, current US$)",672686.285185185,674278.877777778,652481.840740741,1098511.16962963,1098511.16962963,179356.152074074,1035895.43489745,1186496.23222222,1305132.47176694
DMA,"Imports of goods, services and primary income (BoP, current US$)",358569299.403331,362589672.391354,335853509.279088,439014086.732769,460091546.374945,305987108.115442,321927416.91025,356692631.945037,420574645.978622
DMA,"Transport services (% of service imports, BoP)",25.9787010982023,22.2283740021524,19.1774787207077,27.2367470920661,27.9679616488665,20.7842069627091,21.5580414594605,27.8595112279145,25.0440154309286
DMA,"Travel services (% of service imports, BoP)",16.9288853138158,16.5720881347022,15.7866064542743,20.0416453020681,18.5284127559849,5.81127191417767,8.45899363773457,12.3694984908095,14.132777548879
DMA,"Foreign direct investment, net outflows (BoP, current US$)",-11504216.7407407,882692.259259259,-1063626.62962963,55680.4444444445,54136.0,-386517.562962963,2330398.05925926,-723330.114814815,-795654.9671326
DMA,"Foreign direct investment, net outflows (% of GDP)",-2.12750670895005,0.153184115128999,-0.203934973263551,0.0100366651534168,0.00885244829361354,-0.0766573197784601,0.41968988940916,-0.119133506371505,-0.12166115887925
DMA,"Secondary income, other sectors, payments (BoP, current US$)",22044839.7613916,19733290.1217863,18486901.893224,25914303.696661,40295909.8630126,27382515.1670639,29249716.5468764,27073289.8505176,29330748.287181
